id,title,authors,year,venue,arxiv,category
793,UniControl: A Unified Diffusion Model for Controllable Visual Generation,Qin et al.,2023,arXiv,2305.11147,Image Generation
794,Composer: Creative and Controllable Image Synthesis with Composable Conditions,Huang et al.,2023,arXiv,2302.09778,Image Generation
795,Dense Text-to-Image Generation with Attention Modulation,Kim et al.,2023,ICCV,2308.12964,Image Generation
796,Attend-and-Excite: Attention-Based Semantic Guidance,Chefer et al.,2023,SIGGRAPH,2301.13826,Image Generation
797,Concept Sliders: LoRA Adaptors for Precise Control,Gandikota et al.,2023,arXiv,2311.12092,Image Editing
798,Erasing Concepts: Erasing Concepts from Diffusion Models,Gandikota et al.,2023,ICCV,2303.07345,AI Safety
799,Safe Latent Diffusion: Mitigating Inappropriate Degeneration,Schramowski et al.,2023,CVPR,2211.05105,AI Safety
800,UnlearnDiff: Selective Forgetting in Diffusion Models,Zhang et al.,2023,arXiv,2310.12508,AI Safety
801,Ablating Concepts: Concept Ablation in Text-to-Image Diffusion Models,Kumari et al.,2023,arXiv,2303.13516,AI Safety
802,NegPrompt: Negative Prompting for Diffusion Models,Armandpour et al.,2023,arXiv,2305.19156,Prompting
803,StyleAlign: Analysis and Applications of Aligned StyleGAN Models,Zhu et al.,2022,SIGGRAPH,2110.11323,Image Generation
804,DiffEdit: Diffusion-based semantic image editing with mask guidance,Couairon et al.,2023,ICLR,2210.11427,Image Editing
805,Unifying Diffusion Models' Latent Space,Kwon & Ye,2023,arXiv,2210.05559,Theory
806,P2P: Prompt-to-Prompt Image Editing,Hertz et al.,2023,ICLR,2208.01626,Image Editing
807,Token Merging: Token Merging for Fast Stable Diffusion,Bolya & Hoffman,2023,CVPR Workshop,2303.17604,Efficient Inference
808,Distillation: On Distillation of Guided Diffusion Models,Meng et al.,2023,CVPR,2210.03142,Diffusion Distillation
809,Latent Consistency Models: Synthesis in Few Steps,Luo et al.,2023,arXiv,2310.04378,Diffusion Distillation
810,LCM-LoRA: Universal Stable-Diffusion Acceleration,Luo et al.,2023,arXiv,2311.05556,Diffusion Distillation
811,TurboEdit: Instant text-to-image editing,Kim et al.,2024,arXiv,2408.00735,Image Editing
812,SDXL: Improving Latent Diffusion Models for High-Resolution Image Synthesis,Podell et al.,2023,arXiv,2307.01952,Image Generation
813,SDXL Turbo: Adversarial Diffusion Distillation,Sauer et al.,2023,arXiv,2311.17042,Diffusion Distillation
814,PixArt-α: Fast Training of Diffusion Transformer,Chen et al.,2023,arXiv,2310.00426,Image Generation
815,RAPHAEL: Text-to-Image Generation via Large Mixture of Diffusion Paths,Xue et al.,2023,arXiv,2305.18295,Image Generation
816,DeepFloyd IF: Text-to-Image Synthesis with Deep Floyd,Stability AI,2023,Blog,,Image Generation
817,Playground v2: Large-scale Text-to-Image Model,Playground AI,2023,Blog,,Image Generation
818,Würstchen: An Efficient Architecture for Large-Scale Text-to-Image Diffusion,Pernias et al.,2023,arXiv,2306.00637,Image Generation
819,Kandinsky: Text2Image Generation with Prior Diffusion,Razzhigaev et al.,2023,arXiv,2310.03502,Image Generation
820,Muse: Text-To-Image Generation via Masked Generative Transformers,Chang et al.,2023,ICML,2301.00704,Image Generation
821,Parti: Scaling Autoregressive Models for Content-Rich Text-to-Image,Yu et al.,2022,arXiv,2206.10789,Image Generation
822,CogView: Mastering Text-to-Image Generation via Transformers,Ding et al.,2021,NeurIPS,2105.13290,Image Generation
823,CogView2: Faster and Better Text-to-Image Generation,Ding et al.,2022,arXiv,2204.14217,Image Generation
824,NUWA: Visual Synthesis Pre-Training via Neural visUal World creAtion,Wu et al.,2022,ECCV,2111.12417,Image Generation
825,Make-A-Scene: Scene-Based Text-to-Image Generation,Gafni et al.,2022,ECCV,2203.13131,Image Generation
826,ERNIE-ViLG: Unified Generative Pre-training for Bidirectional Vision-Language,Zhang et al.,2022,arXiv,2112.15283,Image Generation
827,VQ-Diffusion: Vector Quantized Diffusion Model for Text-to-Image Synthesis,Gu et al.,2022,CVPR,2111.14822,Image Generation
828,GLIDE: Towards Photorealistic Image Generation and Editing with Text-Guided Diffusion,Nichol et al.,2022,ICML,2112.10741,Image Generation
829,unCLIP: Hierarchical Text-Conditional Image Generation with CLIP Latents,Ramesh et al.,2022,arXiv,2204.06125,Image Generation
830,Versatile Diffusion: Text Images and Variations All in One Diffusion Model,Xu et al.,2023,ICCV,2211.08332,Image Generation
831,eDiff-I: Text-to-Image Diffusion Models with Ensemble of Expert Denoisers,Balaji et al.,2023,arXiv,2211.01324,Image Generation
832,GigaGAN: Scaling up GANs for Text-to-Image Synthesis,Kang et al.,2023,CVPR,2303.05511,Image Generation
833,StyleGAN-T: Unlocking the Power of GANs for Fast Large-Scale Text-to-Image,Sauer et al.,2023,ICML,2301.09515,Image Generation
834,HyperNetworks: Fast Personalization using HyperNetworks,Ruiz et al.,2023,arXiv,2307.06949,Image Generation
835,TokenFlow: Consistent Diffusion Features for Consistent Video Editing,Geyer et al.,2023,arXiv,2307.10373,Video Editing
836,Text2Video-Zero: Text-to-Image Diffusion Models are Zero-Shot Video Generators,Khachatryan et al.,2023,ICCV,2303.13439,Video Generation
837,Tune-A-Video: One-Shot Tuning of Image Diffusion Models for Text-to-Video,Wu et al.,2023,ICCV,2212.11565,Video Generation
838,Control-A-Video: Controllable Text-to-Video Generation,Chen et al.,2023,arXiv,2305.13840,Video Generation
839,VideoComposer: Compositional Video Synthesis with Motion Controllability,Wang et al.,2023,arXiv,2306.02018,Video Generation
840,VideoFusion: Decomposed Diffusion Models for High-Quality Video Generation,Luo et al.,2023,CVPR,2303.08320,Video Generation
841,Align Your Latents: High-Resolution Video Synthesis,Blattmann et al.,2023,CVPR,2304.08818,Video Generation
842,MagicVideo: Efficient Video Generation With Latent Diffusion Models,Zhou et al.,2023,arXiv,2211.11018,Video Generation
843,CogVideo: Large-scale Pretraining for Text-to-Video Generation,Hong et al.,2022,arXiv,2205.15868,Video Generation
844,NUWA-Infinity: Autoregressive over Autoregressive Generation,Wu et al.,2022,arXiv,2207.09814,Video Generation
845,Video LDM: Align your Latents High-Resolution Video Synthesis with Latent Diffusion Models,Blattmann et al.,2023,CVPR,2304.08818,Video Generation
846,Show-1: Marrying Pixel and Latent Diffusion Models for Text-to-Video Generation,Zhang et al.,2023,arXiv,2309.15818,Video Generation
847,LaVie: High-Quality Video Generation with Cascaded Latent Diffusion Models,Wang et al.,2023,arXiv,2309.15103,Video Generation
848,ModelScope: Text-to-Video Technical Report,Wang et al.,2023,arXiv,2308.06571,Video Generation
849,VideoGen: A Reference-Guided Latent Diffusion Approach,Li et al.,2023,arXiv,2309.00398,Video Generation
850,I2VGen-XL: High-Quality Image-to-Video Synthesis,Zhang et al.,2023,arXiv,2311.04145,Video Generation
851,DynamiCrafter: Animating Open-domain Images with Video Diffusion Priors,Xing et al.,2023,arXiv,2310.12190,Video Generation
852,SEINE: Short-to-Long Video Diffusion Model,Chen et al.,2023,arXiv,2310.20700,Video Generation
853,FreeNoise: Tuning-Free Longer Video Diffusion Via Noise Rescheduling,Qiu et al.,2023,arXiv,2310.15169,Video Generation
854,VideoCrafter: A Toolkit for Text-to-Video Generation and Editing,Chen et al.,2023,arXiv,2310.19512,Video Generation
855,MotionDirector: Motion Customization of Text-to-Video Diffusion Models,Zhao et al.,2023,arXiv,2310.08465,Video Generation
856,DragNUWA: Fine-grained Control in Video Generation,Yin et al.,2023,arXiv,2308.08089,Video Editing
857,FateZero: Fusing Attentions for Zero-shot Text-based Video Editing,Qi et al.,2023,ICCV,2303.09535,Video Editing
858,Gen-1: Structure and Content-Guided Video Synthesis,Esser et al.,2023,arXiv,2302.03011,Video Generation
859,Rerender A Video: Zero-Shot Text-Guided Video-to-Video Translation,Yang et al.,2023,SIGGRAPH Asia,2306.07954,Video Editing
860,CoDeF: Content Deformation Fields for Temporally Consistent Video Processing,Ouyang et al.,2023,arXiv,2308.07926,Video Editing
861,StableVideo: Text-driven Consistency-aware Diffusion Video Editing,Chai et al.,2023,ICCV,2308.09592,Video Editing
862,Dreamix: Video Diffusion Models are General Video Editors,Molad et al.,2023,arXiv,2302.01329,Video Editing
863,ControlVideo: Training-free Controllable Text-to-Video Generation,Zhang et al.,2023,arXiv,2305.13077,Video Generation
864,VideoDirectorGPT: Consistent Multi-scene Video Generation via LLM-Guided Planning,Lin et al.,2023,arXiv,2309.15091,Video Generation
865,Emu Video: Factorizing Text-to-Video Generation by Explicit Image Conditioning,Girdhar et al.,2023,arXiv,2311.10709,Video Generation
866,Pika 1.0: Idea to Video in Seconds,Pika Labs,2023,Blog,,Video Generation
867,Morph Studio: AI Video Creation Platform,Morph,2024,Commercial,,Video Generation
868,PixVerse: Text to Video AI Generator,PixVerse,2024,Commercial,,Video Generation
869,Haiper: Perceptual Foundation Models for Creative Video Generation,Haiper,2024,Blog,,Video Generation
870,Luma Dream Machine: High-quality realistic shots from text,Luma AI,2024,Commercial,,Video Generation
871,Sora: Creating video from text,OpenAI,2024,Blog,,Video Generation
872,Veo: Google's most capable video generation model,Google,2024,Blog,,Video Generation
873,SAM 2: Segment Anything in Images and Videos,Ravi et al.,2024,arXiv,2408.00714,Video Segmentation
874,Tracking Anything: Segment and Track Anything,Yang & Yang,2023,arXiv,2304.11968,Video Tracking
875,DEVA: Tracking Anything with Decoupled Video Segmentation,Cheng et al.,2023,ICCV,2309.03903,Video Tracking
876,XMem: Long-Term Video Object Segmentation with an Atkinson-Shiffrin Memory Model,Cheng & Schwing,2022,ECCV,2207.07115,Video Segmentation
877,Cutie: Learning to Cut via Video Object Segmentation,Cheng et al.,2023,arXiv,2310.12982,Video Segmentation
878,TubeLink: A Flexible Cross Tube Framework for Universal Video Segmentation,Gu et al.,2024,arXiv,2401.04666,Video Segmentation
879,3D Generation: DreamFusion Text-to-3D using 2D Diffusion,Poole et al.,2022,arXiv,2209.14988,3D Generation
880,Magic3D: High-Resolution Text-to-3D Content Creation,Lin et al.,2023,CVPR,2211.10440,3D Generation
881,ProlificDreamer: High-Fidelity and Diverse Text-to-3D Generation,Wang et al.,2023,arXiv,2305.16213,3D Generation
882,MVDream: Multi-view Diffusion for 3D Generation,Shi et al.,2023,arXiv,2308.16512,3D Generation
883,Zero123: Zero-shot Image-to-3D with a Single Image,Liu et al.,2023,ICCV,2303.11328,3D Generation
884,One-2-3-45: Any Single Image to 3D Mesh in 45 Seconds,Liu et al.,2023,arXiv,2306.16928,3D Generation
885,Wonder3D: Single Image to 3D using Cross-Domain Diffusion,Long et al.,2023,arXiv,2310.15008,3D Generation
886,Instant3D: Fast Text-to-3D with Sparse-View Generation and Large Reconstruction,Li et al.,2023,arXiv,2311.06214,3D Generation
887,LRM: Large Reconstruction Model for Single Image to 3D,Hong et al.,2023,arXiv,2311.04400,3D Generation
888,TripoSR: Fast 3D Object Reconstruction from a Single Image,Tochilkin et al.,2024,arXiv,2403.02151,3D Generation
889,OpenLRM: Open-Source Large Reconstruction Models,Chen et al.,2024,arXiv,2406.01985,3D Generation
890,InstantMesh: Efficient 3D Mesh Generation from a Single Image,Xu et al.,2024,arXiv,2404.07191,3D Generation
891,SuGaR: Surface-Aligned Gaussian Splatting for Efficient 3D Mesh Reconstruction,Guédon & Lepetit,2023,arXiv,2311.12775,3D Generation
892,GaussianDreamer: Fast Generation from Text Prompt with 3D Gaussian Splatting,Yi et al.,2023,arXiv,2310.08529,3D Generation
893,DreamGaussian: Generative Gaussian Splatting for Efficient 3D Content Creation,Tang et al.,2023,arXiv,2309.16653,3D Generation
894,Text2Room: Extracting Textured 3D Meshes from 2D Text-to-Image Models,Höllein et al.,2023,ICCV,2303.11989,3D Generation
895,Text2Mesh: Text-Driven Neural Stylization for Meshes,Michel et al.,2022,CVPR,2112.03221,3D Generation
896,CLIP-Mesh: Generating Textured Meshes from Text,Mohammad Khalid et al.,2022,CVPR,2203.13333,3D Generation
897,Latent-NeRF: Text-driven 3D Scene Generation,Metzer et al.,2023,CVPR,2211.15388,3D Generation
898,ATT3D: Amortized Text-to-3D Object Synthesis,Lorraine et al.,2023,ICCV,2306.07349,3D Generation
899,Shap-E: Generating Conditional 3D Implicit Functions,Jun & Nichol,2023,arXiv,2305.02463,3D Generation
900,Point-E: A System for Generating 3D Point Clouds,Nichol et al.,2022,arXiv,2212.08751,3D Generation
901,Neural Radiance Fields: NeRF Representing Scenes as Neural Radiance Fields,Mildenhall et al.,2020,ECCV,2003.08934,3D Reconstruction
902,Mip-NeRF: A Multiscale Representation for Anti-Aliasing Neural Radiance Fields,Barron et al.,2021,ICCV,2103.13415,3D Reconstruction
903,Mip-NeRF 360: Unbounded Anti-Aliased Neural Radiance Fields,Barron et al.,2022,CVPR,2111.12077,3D Reconstruction
904,Instant-NGP: Instant Neural Graphics Primitives,Müller et al.,2022,SIGGRAPH,2201.05989,3D Reconstruction
905,Plenoxels: Radiance Fields without Neural Networks,Yu et al.,2022,CVPR,2112.05131,3D Reconstruction
906,TensoRF: Tensorial Radiance Fields,Chen et al.,2022,ECCV,2203.09517,3D Reconstruction
907,K-Planes: Explicit Radiance Fields in Space Time and Appearance,Fridovich-Keil et al.,2023,CVPR,2301.10241,3D Reconstruction
908,Nerfstudio: A Framework for Neural Radiance Field Development,Tancik et al.,2023,SIGGRAPH,2302.04264,3D Reconstruction
909,NeRF++: Analyzing and Improving Neural Radiance Fields,Zhang et al.,2020,arXiv,2010.07492,3D Reconstruction
910,NeRF in the Wild: Neural Radiance Fields for Unconstrained Photo Collections,Martin-Brualla et al.,2021,CVPR,2008.02268,3D Reconstruction
911,Depth-supervised NeRF: Fewer Views and Faster Training for Free,Deng et al.,2022,CVPR,2107.02791,3D Reconstruction
912,RegNeRF: Regularizing Neural Radiance Fields for View Synthesis,Niemeyer et al.,2022,CVPR,2112.00724,3D Reconstruction
913,FreeNeRF: Improving Few-shot Neural Rendering with Free Frequency Regularization,Yang et al.,2023,CVPR,2303.07418,3D Reconstruction
914,Zip-NeRF: Anti-Aliased Grid-Based Neural Radiance Fields,Barron et al.,2023,ICCV,2304.06706,3D Reconstruction
915,Nerfacto: A Real-Time NeRF Implementation,Nerfstudio Team,2023,GitHub,,3D Reconstruction
916,F2-NeRF: Fast Neural Radiance Field Training with Free Camera Trajectories,Wang et al.,2023,CVPR,2303.15951,3D Reconstruction
917,NeRF-DS: Neural Radiance Fields for Dynamic Scenes,Yan et al.,2023,arXiv,2310.10563,3D Reconstruction
918,HyperNeRF: A Higher-Dimensional Representation for Topologically Varying NeRFs,Park et al.,2021,SIGGRAPH Asia,2106.13228,3D Reconstruction
919,D-NeRF: Neural Radiance Fields for Dynamic Scenes,Pumarola et al.,2021,CVPR,2011.13961,3D Reconstruction
920,Nerfies: Deformable Neural Radiance Fields,Park et al.,2021,ICCV,2011.12948,3D Reconstruction
921,4D Gaussian Splatting for Real-Time Dynamic Scene Rendering,Wu et al.,2023,arXiv,2310.08528,3D Reconstruction
922,Dynamic 3D Gaussians: Tracking by Persistent Dynamic View Synthesis,Luiten et al.,2023,arXiv,2308.09713,3D Reconstruction
923,Deformable 3D Gaussians for High-Fidelity Monocular Dynamic Scene Reconstruction,Yang et al.,2023,arXiv,2309.13101,3D Reconstruction
924,SC-GS: Sparse-Controlled Gaussian Splatting,Huang et al.,2023,arXiv,2312.14937,3D Reconstruction
925,Mip-Splatting: Alias-free 3D Gaussian Splatting,Yu et al.,2023,arXiv,2311.16493,3D Reconstruction
926,Gaussian Grouping: Segment and Edit Anything in 3D Scenes,Ye et al.,2023,arXiv,2312.00732,3D Reconstruction
927,LangSplat: 3D Language Gaussian Splatting,Qin et al.,2023,arXiv,2312.16084,3D Reconstruction
928,GS-SLAM: Dense Visual SLAM with 3D Gaussian Splatting,Yan et al.,2023,arXiv,2311.11700,3D Reconstruction
929,Photo-SLAM: Real-time Simultaneous Localization and Photorealistic Mapping,Zhao et al.,2024,arXiv,2311.16728,3D Reconstruction
930,SplaTAM: Splat Track & Map 3D Gaussians for Dense RGB-D SLAM,Keetha et al.,2023,arXiv,2312.02126,3D Reconstruction
931,Gaussian-SLAM: Photo-realistic Dense SLAM with Gaussian Splatting,Yugay et al.,2023,arXiv,2312.10070,3D Reconstruction
932,MonoGS: Monocular Gaussian Splatting,Matsuki et al.,2023,arXiv,2312.06735,3D Reconstruction
933,Text-to-4D: Dynamic Scene Generation from Text Descriptions,Singer et al.,2023,arXiv,2301.11280,4D Generation
934,4D-fy: Text-to-4D Generation Using Hybrid Score Distillation,Bahmani et al.,2023,arXiv,2311.17984,4D Generation
935,Consistent4D: Consistent 360° Dynamic Object Generation from Monocular Video,Jiang et al.,2023,arXiv,2311.02848,4D Generation
936,4DGen: Grounded 4D Content Generation with Spatial-temporal Consistency,Yin et al.,2023,arXiv,2312.17225,4D Generation
937,Align Your Gaussians: Text-to-4D with Dynamic 3D Gaussians,Ling et al.,2023,arXiv,2312.13763,4D Generation
938,DriveGPT4: Interpretable End-to-end Autonomous Driving via Large Language Model,Xu et al.,2023,arXiv,2310.01957,Autonomous Driving
939,LanguageMPC: Large Language Models as Decision Makers for Autonomous Driving,Sha et al.,2023,arXiv,2310.03026,Autonomous Driving
940,GPT-Driver: Learning to Drive with GPT,Mao et al.,2023,arXiv,2310.01415,Autonomous Driving
941,UniAD: Planning-oriented Autonomous Driving,Hu et al.,2023,CVPR,2212.10156,Autonomous Driving
942,VAD: Vectorized Scene Representation for Efficient Autonomous Driving,Jiang et al.,2023,ICCV,2303.12077,Autonomous Driving
943,BEVFormer: Learning Bird's-Eye-View Representation from Multi-Camera Images,Li et al.,2022,ECCV,2203.17270,Autonomous Driving
944,PETR: Position Embedding Transformation for Multi-View 3D Object Detection,Liu et al.,2022,ECCV,2203.05625,Autonomous Driving
945,BEVDet: High-Performance Multi-Camera 3D Object Detection,Huang et al.,2022,arXiv,2112.11790,Autonomous Driving
946,OccNet: Scene Completion from a Single Depth Image,Mescheder et al.,2019,CVPR,1812.03828,3D Vision
947,Tesla FSD: Full Self-Driving Capability,Tesla,2023,Blog,,Autonomous Driving
948,Waymo Driver: The World's Most Experienced Driver,Waymo,2023,Blog,,Autonomous Driving
949,Medical AI: Deep Learning for Medical Image Analysis,Litjens et al.,2017,Medical Image Analysis,,Medical AI
950,PathologyGPT: GPT for Pathology Diagnosis,Lu et al.,2023,arXiv,2308.00992,Medical AI
951,MedGPT: Medical Question Answering with GPT,Singhal et al.,2023,Nature,2305.09617,Medical AI
952,Med-PaLM: Large Language Models Encode Clinical Knowledge,Singhal et al.,2023,Nature,2212.13138,Medical AI
953,Med-PaLM 2: Towards Expert-Level Medical Question Answering,Singhal et al.,2023,arXiv,2305.09617,Medical AI
954,BioGPT: Generative Pre-trained Transformer for Biomedical Text,Luo et al.,2022,Briefings in Bioinformatics,2210.10341,Medical AI
955,AlphaFold: Highly accurate protein structure prediction with AlphaFold,Jumper et al.,2021,Nature,2108.13312,Biology AI
956,AlphaFold 2: Improved protein structure prediction using potentials,Evans et al.,2022,Nature,,Biology AI
957,ESMFold: Evolutionary Scale Modeling of Protein Structure,Lin et al.,2023,Science,2207.01586,Biology AI
958,RoseTTAFold: Accurate prediction of protein structures,Baek et al.,2021,Science,2108.12207,Biology AI
959,ProteinMPNN: Robust deep learning based protein sequence design,Dauparas et al.,2022,Science,2208.07983,Biology AI
960,RFdiffusion: De novo protein design by deep network hallucination,Watson et al.,2023,Nature,2210.08590,Biology AI
961,ChemGPT: Chemistry Language Model for Molecular Generation,Frey et al.,2023,arXiv,2302.06255,Chemistry AI
962,MolGPT: Molecular Generation using Transformers,Bagal et al.,2022,arXiv,2104.03629,Chemistry AI
963,AlphaChemistry: AI for Chemistry,Google DeepMind,2023,Blog,,Chemistry AI
964,Climate AI: Deep Learning for Climate Science,Reichstein et al.,2019,Nature,,Climate AI
965,ClimaX: A Foundation Model for Weather and Climate,Nguyen et al.,2023,arXiv,2301.10343,Climate AI
966,GraphCast: Learning skillful medium-range global weather forecasting,Lam et al.,2023,Science,2212.12794,Climate AI
967,Pangu-Weather: A 3D High-Resolution Model for Fast and Accurate Global Weather Forecast,Bi et al.,2023,Nature,2211.02556,Climate AI
968,FourCastNet: Accelerating Global High-Resolution Weather Forecasting,Pathak et al.,2022,arXiv,2208.05419,Climate AI
969,Aurora: A Foundation Model of the Atmosphere,Bodnar et al.,2024,arXiv,2405.13063,Climate AI
970,Finance AI: Machine Learning in Finance,Dixon et al.,2020,Book,,Finance AI
971,FinGPT: Open-Source Financial Large Language Models,Yang et al.,2023,arXiv,2306.06031,Finance AI
972,BloombergGPT: A Large Language Model for Finance,Wu et al.,2023,arXiv,2303.17564,Finance AI
973,Legal AI: AI and Law,Surden,2019,Journal,,Legal AI
974,LegalBERT: The Muppets straight out of Law School,Chalkidis et al.,2020,EMNLP,2010.02559,Legal AI
975,GPT-4 for Legal: ChatGPT in Legal Practice,OpenAI,2023,Blog,,Legal AI
976,Education AI: Artificial Intelligence in Education,Roll & Wylie,2016,Journal,,Education AI
977,Khan Academy AI Tutor: Khanmigo,Khan Academy,2023,Blog,,Education AI
978,Duolingo Max: AI-Powered Language Learning,Duolingo,2023,Blog,,Education AI
979,GitHub Copilot: Your AI pair programmer,GitHub,2021,Blog,,Code Generation
980,Cursor: The AI-first Code Editor,Cursor,2023,Blog,,Code Generation
981,Tabnine: AI Assistant for Software Developers,Tabnine,2023,Blog,,Code Generation
982,Codeium: Free AI-Powered Code Acceleration,Codeium,2023,Blog,,Code Generation
983,Replit Ghostwriter: AI Pair Programmer,Replit,2023,Blog,,Code Generation
984,Amazon CodeWhisperer: ML-powered coding companion,Amazon,2023,Blog,,Code Generation
985,Sourcegraph Cody: AI coding assistant,Sourcegraph,2023,Blog,,Code Generation
986,GPT-4 Code Interpreter: Advanced Data Analysis,OpenAI,2023,Blog,,Code Generation
987,Claude Code: Code-focused AI Assistant,Anthropic,2024,Blog,,Code Generation
988,Devin: First AI Software Engineer,Cognition Labs,2024,Blog,,Code Generation
989,SWE-Agent: Agent Computer Interfaces Enable Automated Software Engineering,Yang et al.,2024,arXiv,2405.15793,Code Generation
990,AutoCodeRover: Autonomous Program Improvement,Zhang et al.,2024,arXiv,2404.05427,Code Generation
991,Aider: AI pair programming in your terminal,Aider,2023,GitHub,,Code Generation
992,GPT-Engineer: Specify what you want it to build,GPT-Engineer,2023,GitHub,,Code Generation
993,Smol Developer: AI that can build complete apps,Smol,2023,GitHub,,Code Generation
994,MetaGPT: Meta Programming for Multi-Agent Collaborative Framework,Hong et al.,2023,arXiv,2308.00352,Multi-Agent
995,AgentVerse: Facilitating Multi-Agent Collaboration,Chen et al.,2023,arXiv,2308.10848,Multi-Agent
996,Multi-Agent Systems: A Survey of Large Language Model based Multi-Agent Systems,Guo et al.,2024,arXiv,2402.01680,Multi-Agent
997,Generalist Agents: Inspired by Humans Powered by LLMs,Zhang et al.,2024,arXiv,2401.06173,LLM Applications
998,Toolformer: Language Models That Can Use Tools,Schick et al.,2023,arXiv,2302.04761,LLM Applications
999,Voyager: An Open-Ended Embodied Agent with LLMs,Wang et al.,2023,arXiv,2305.16291,LLM Applications
1000,JARVIS: HuggingGPT Solving AI Tasks with ChatGPT,Shen et al.,2023,arXiv,2303.17580,LLM Applications
